date_label,date,title,loc,type,order,day,month,year,key,lon,lat
01 January,2022-01-01,Start of trading under the Regional Comprehensive Economic Partnership,Asia,Economy,2,1,January,2022,key dates,89.2343748,51.2086975
01 January,2022-01-01,France takes on rotating Council Presidency,"Brussels, Belgium",European Union,3,1,January,2022,key dates,4.351697,50.8465573
02 January,2022-01-02,530 years since the Reconquista and the re-capture of Granada,Spain,History,4,2,January,2022,key dates,-4.8379791,39.3260685
04 January,2022-01-04,Presidential elections,Italy,Politics,5,4,January,2022,key dates,12.674297,42.6384261
12-13 January,2022-01-12,13th European Space Summit,"Brussels, Belgium",European Union,6,12,January,2022,key dates,4.351697,50.8465573
15 January,2022-01-15,400 years since the birth of French playwright Molière,France,History,7,15,January,2022,key dates,1.8883335,46.603354
17-20 January,2022-01-17,European Parliament Plenary Session,"Strasbourg, France",European Union,8,17,January,2022,key dates,7.7507127,48.584614
17-21 January,2022-01-17,DAVOS Forum,"Geneva, Switzerland",Global,9,17,January,2022,key dates,6.1466014,46.2017559
17-28 January,2022-01-17,1st Working Session of Ad Hoc Committee on cybercrime established under UNGA Resolution 74/247,"New York, USA",Global,10,17,January,2022,key dates,-74.0060152,40.7127281
22 January,2022-01-22,"50 years since Denmark, Ireland, Norway and the UK signed the Treaty of Accession to the European Community (Norway did not ratify)",worldwide,European Union,11,22,January,2022,key dates,0,0
27 January,2022-01-27,International Holocaust Remembrance Day,worldwide,History,12,27,January,2022,key dates,0,0
30 January,2022-01-30,Legislative elections,Portugal,Politics,13,30,January,2022,key dates,-7.8896263,40.0332629
30 January,2022-01-30,50 years since the Bloody Sunday,Northern Ireland,History,14,30,January,2022,key dates,-6.9591554,54.5859836
31 January,2022-01-31,Second Brexit Anniversary,United Kingdom,European Union,15,31,January,2022,key dates,-3.2765753,54.7023545
01 February,2022-02-01,Chinese New Year - Year of the Tiger,China,Culture/society,17,1,February,2022,key dates,104.999927,35.000074
04-20 February,2022-02-04,Olympic Winter Games,"Beijing, China",Culture/society,18,4,February,2022,key dates,116.3912757,39.906217
06 February,2022-02-06,General elections,Costa Rica,Politics,19,6,February,2022,key dates,-84.0739102,10.2735633
06 February,2022-02-06,"70th anniversary of reign of Queen Elizabeth II, Platinum Jubilee",UK,Culture/society,20,6,February,2022,key dates,-3.2765753,54.7023545
06 February,2022-02-06,Finale of 2021 Africa Cup of Nations (CAN),"Yaounde, Cameroon",Culture/society,21,6,February,2022,key dates,11.5213344,3.8689867
13 February,2022-02-13,Presidential elections,Germany,Politics,22,13,February,2022,key dates,10.4234469,51.0834196
13 February,2022-02-13,Super Bowl,"Los Angeles, USA",Culture/society,23,13,February,2022,key dates,-118.242766,34.0536909
14 February,2022-02-14,Valentine's Day,worldwide,Global,24,14,February,2022,key dates,0,0
14-17 February,2022-02-14,European Parliament Plenary Session,"Strasbourg, France",European Union,25,14,February,2022,key dates,7.7507127,48.584614
15 February,2022-02-15,Nirvana Day,India,Culture/society,26,15,February,2022,key dates,78.6677428,22.3511148
17 February,2022-02-17,Fueling the Future Summit,Online,European Union,27,17,February,2022,key dates,3.8595132132013186,43.59047185
17-18 February,2022-02-17,6th EU-African Union summit,"Brussels, Belgium",European Union,28,17,February,2022,key dates,4.351697,50.8465573
18-20 February,2022-02-18,Munich Security Conference,"Munich, Germany",Global,29,18,February,2022,key dates,11.5753822,48.1371079
21 February,2022-02-21,345 anniversary of death of the Dutch Philosopher Baruch Spinoza,worldwide,History,30,21,February,2022,key dates,0,0
27 February,2022-02-27,Presidential and Legislative elections,Mali,Politics,31,27,February,2022,key dates,-2.2900239,16.3700359
27 February,2022-02-27,"1750 anniversary of birth of Constantine the Great, Roman Emperor",worldwide,History,32,27,February,2022,key dates,0,0
28 February,2022-02-28,100 years since Egypt gained independence from the UK,Egypt,History,33,28,February,2022,key dates,29.2675469,26.2540493
01-09 March,2022-03-01,World Telecommunication Standardization Assembly,"Geneva, Switzerland",Global,34,1,March,2022,key dates,6.1466014,46.2017559
02 April - 03 May,2022-03-02,Ramadan,worldwide,Global,56,2,March,2022,key dates,0,0
03-04 March,2022-03-03,European Summit of regions and cities,"Marseille, France",European Union,35,3,March,2022,key dates,5.3699525,43.2961743
04-13 March,2022-03-04,Winter Paralympics,"Beijing, China",Culture/society,36,4,March,2022,key dates,116.3912757,39.906217
07-10 March,2022-03-07,European Parliament Plenary Session,"Strasbourg, France",European Union,38,7,March,2022,key dates,7.7507127,48.584614
08 March,2022-03-08,International Women's Day,worldwide,Global,37,8,March,2022,key dates,0,0
09 March,2022-03-09,Presidential elections,South Korea,Politics,39,9,March,2022,key dates,127.6961188,36.638392
13 March,2022-03-13,Parliamentary elections,Colombia,Politics,40,13,March,2022,key dates,-72.9088133,4.099917
15-16 March,2022-03-15,International Conference on the EU Cybersecurity Act,"Brussels, Belgium",European Union,41,15,March,2022,key dates,4.351697,50.8465573
15-16 March,2022-03-15,Blue Invest Africa,"Mahe Island, Seychelles",Global,42,15,March,2022,key dates,55.49263800753758,-4.68379555
17 March,2022-03-17,Saint Patrick's Day,Ireland,Culture/society,43,17,March,2022,key dates,-7.9794599,52.865196
21-26 March,2022-03-21,"9th World Water Forum ""Water Security for Peace and Development""","Dakar, Senegal",Global,44,21,March,2022,key dates,-17.447938,14.693425
21-31 March,2022-03-21,2022 Session of the ITU Council,"Geneva, Switzerland",Global,45,21,March,2022,key dates,6.1466014,46.2017559
22-27 March,2022-03-22,Winter Military World Games,worldwide,Global,46,22,March,2022,key dates,0,0
23-24 March,2022-03-23,European Parliament Plenary Session,"Brussels, Belgium",European Union,47,23,March,2022,key dates,4.351697,50.8465573
24-25 March,2022-03-24,Adoption of the Strategic Compass,"Brussels, Belgium",European Union,48,24,March,2022,key dates,4.351697,50.8465573
24-25 March,2022-03-24,EURO Summit,"Brussels, Belgium",European Union,49,24,March,2022,key dates,4.351697,50.8465573
27 March,2022-03-27,General elections,Lebanon,Politics,50,27,March,2022,key dates,35.843409,33.8750629
27 March,2022-03-27,Hong Kong Chief Executive elections,Hong Kong,Politics,51,27,March,2022,key dates,114.1628131,22.2793278
27 March,2022-03-27,Oscars Awards,"Los Angeles, USA",Culture/society,52,27,March,2022,key dates,-118.242766,34.0536909
29 March,2022-03-29,5 years  UK's start formal withdrawal from EU,UK,European Union,53,29,March,2022,key dates,-3.2765753,54.7023545
31 March,2022-03-31,Closing of the World Expo,"Dubai, UAE",Global,54,31,March,2022,key dates,55.2924914,25.2653471
03 April,2022-04-03,General elections,Serbia,Politics,57,3,April,2022,key dates,20.55144,44.1534121
03 April,2022-04-03,2nd round General elections,Costa Rica,Politics,58,3,April,2022,key dates,-84.0739102,10.2735633
04-07 April,2022-04-04,European Parliament Plenary Session,"Strasbourg, France",European Union,59,4,April,2022,key dates,7.7507127,48.584614
10 April,2022-04-10,Presidential elections,France,Politics,60,10,April,2022,key dates,1.8883335,46.603354
17 April,2022-04-17,Easter Sunday,worldwide,Global,61,17,April,2022,key dates,0,0
22 April,2022-04-22,Earth Day,worldwide,Global,62,22,April,2022,key dates,0,0
24 April,2022-04-24,Parliamentary elections,Slovenia,Politics,63,24,April,2022,key dates,14.626325753340627,46.149034549999996
02-05 May,2022-05-02,Asian Development Bank meeting,Sri-Lanka,Economy,66,2,May,2022,key dates,80.7137847,7.5554942
02-05 May,2022-05-02,European Parliament Plenary Session,"Strasbourg, France",European Union,67,2,May,2022,key dates,7.7507127,48.584614
03 May,2022-05-03,World Press Freedom Day,worldwide,Global,68,3,May,2022,key dates,0,0
05 May,2022-05-05,Northern Ireland Assembly elections,UK,Politics,69,5,May,2022,key dates,-3.2765753,54.7023545
09 May,2022-05-09,Europe Day,worldwide,European Union,70,9,May,2022,key dates,0,0
09 May,2022-05-09,Legislative and Presidential elections,worldwide,Politics,71,9,May,2022,key dates,0,0
10-14 May,2022-05-10,Eurovision,"Turin, Italy",Culture/society,73,10,May,2022,key dates,7.6824892,45.0677551
12-13 May,2022-05-12,EU-Startups Summit,"Barcelona, Spain",Economy,72,12,May,2022,key dates,2.1774322,41.3828939
15-16 May,2022-05-15,Total Lunar Eclipse,worldwide,Global,74,15,May,2022,key dates,0,0
17-21 May,2022-05-17,9th Africities Summit,"Kisumu, Kenya",Global,75,17,May,2022,key dates,34.7541761,-0.1029109
18-19 May,2022-05-18,European Parliament Plenary Session,"Brussels, Belgium",European Union,76,18,May,2022,key dates,4.351697,50.8465573
19 May,2022-05-19,Buddha's Birthday,worldwide,Global,77,19,May,2022,key dates,0,0
21 May,2022-05-21,Federal elections (half-Senate),Australia,Politics,78,21,May,2022,key dates,134.755,-24.7761086
22 May,2022-05-22,Roland Garros Championship,"Paris, France",Global,79,22,May,2022,key dates,2.3200410217200766,48.8588897
23-27 May,2022-05-23,57th Annual Meeting of the African Development Bank and 48th Annual Meeting of the African Development Fund  ,"Accra, Ghana",Global,80,23,May,2022,key dates,-0.2012376,5.5571096
25 May,2022-05-25,Africa Day (annual celebration),Africa,Culture/society,81,25,May,2022,key dates,17.7578122,11.5024338
